Supplier Invoice,Supplier Invoice Total Amount ,Invoice Date,Status,Accounting Date for Supplier Invoice,Supplier Name,Payment Status,Beginning Payment Date,Payment Amount,Discount Taken,Payment Type,CF CCD LRV Payment Reconciliation Status SID,Bank Cleared Date,Invoice Amount,Due Date,Purchase Orders,Extended Amount,Cost Center
SI-00631738,16362.87,2/10/2023,Approved,3/1/2023,HANDPRINT ARCHITECTURE INC,Paid,3/14/2023,16362.87,0,ACH,Reconciled,3/15/2023,16362.87,2/10/2023,PO-00122730,16362.87,CDBG Administration
SI-00604430,23110.51,2/15/2023,Approved,3/1/2023,FACILITY SOLUTIONS GROUP FSG,Paid,3/31/2023,23110.51,0,Check,Reconciled,4/7/2023,23110.51,2/15/2023,PO-00139804,23110.51,CDBG Administration
SI-00677597,70239.69,2/15/2023,Approved,3/1/2023,SAINT FRANCIS CENTER,Paid,3/17/2023,70239.69,0,Check,Reconciled,3/27/2023,70239.69,3/17/2023,PO-00153135,70239.69,CDBG Administration
SI-00696479,50030.99,2/16/2023,Approved,3/1/2023,BUSCO INC,Paid,3/17/2023,50030.99,0,ACH,Reconciled,3/20/2023,50030.99,3/18/2023,PO-00120415,50030.99,CDBG Administration
SI-00626293,9912.75,2/16/2023,Approved,3/1/2023,URBAN PEAK DENVER,Paid,3/17/2023,9912.75,0,ACH,Reconciled,3/20/2023,9912.75,3/18/2023,PO-00196472,9912.75,CDBG Administration
SI-00642077,453.92,2/17/2023,Approved,3/1/2023,FACILITY SOLUTIONS GROUP FSG,Paid,3/17/2023,453.92,0,Check,Reconciled,3/31/2023,453.92,2/17/2023,PO-00170091,453.92,CDBG Administration
SI-00692239,2246.12,2/22/2023,Approved,3/1/2023,SAFEWARE INC,Paid,3/23/2023,2246.12,0,ACH,Reconciled,3/24/2023,2246.12,2/22/2023,PO-00100636,2246.12,CDBG Administration
SI-00679627,12499.91,2/22/2023,Approved,3/1/2023,FACILITY SOLUTIONS GROUP FSG,Paid,3/21/2023,12499.91,0,Check,Reconciled,3/31/2023,12499.91,2/22/2023,PO-00191637,12499.91,CDBG Administration
SI-00610009,99695,2/22/2023,Approved,2/22/2023,OZ ARCHITECTURE INC,Paid,3/24/2023,99695,0,ACH,Reconciled,3/27/2023,99695,3/24/2023,PO-00152802,99695,CDBG Administration
SI-00628435,9179.08,2/28/2023,Approved,3/1/2023,B2B SOLUTIONS LLC,Paid,4/5/2023,9179.08,0,ACH,Reconciled,4/6/2023,9179.08,3/30/2023,PO-00140078,999.9,CDBG Administration
SI-00689405,5526.51,2/28/2023,Approved,3/1/2023,SECURITAS SECURITY SERVICES USA INC,Paid,3/28/2023,5526.51,0,ACH,Reconciled,3/29/2023,5526.51,2/28/2023,PO-00157065,5526.51,CDBG Administration
SI-00671486,895620,3/1/2023,Approved,3/1/2023,CATHOLIC CHARITIES AND COMMUNITY SERVICES OF DENVER,Paid,3/3/2023,895620,0,Check,Reconciled,3/9/2023,895620,3/1/2023,PO-00186453,895620,CDBG Administration
SI-00613847,436,3/2/2023,Approved,5/1/2023,ROTH PROPERTY MAINTENANCE LLC,Paid,5/22/2023,436,0,Check,Reconciled,5/30/2023,436,4/1/2023,PO-00148288,436,CDBG Administration
SI-00668984,5114.18,3/2/2023,Approved,4/1/2023,THE GATHERING PLACE,Paid,4/12/2023,5114.18,0,Check,Reconciled,5/1/2023,5114.18,4/1/2023,PO-00104929,5114.18,CDBG Administration
SI-00604179,5371.81,3/2/2023,Approved,3/2/2023,THE GATHERING PLACE,Paid,4/6/2023,5371.81,0,Check,Reconciled,5/1/2023,5371.81,4/1/2023,PO-00104929,5371.81,CDBG Administration
SI-00627740,6788.57,3/2/2023,Approved,3/2/2023,OAK ENVIRONMENTAL LLC,Paid,4/5/2023,6788.57,0,ACH,Reconciled,4/6/2023,6788.57,3/2/2023,PO-00140491,1788.57,CDBG Administration
SI-00627740,6788.57,3/2/2023,Approved,3/2/2023,OAK ENVIRONMENTAL LLC,Paid,4/5/2023,,,,Reconciled,4/6/2023,6788.57,3/2/2023,PO-00140491,5000,CDBG Administration
SI-00657859,1871.8,3/2/2023,Approved,3/2/2023,OAK ENVIRONMENTAL LLC,Paid,4/3/2023,1871.8,0,ACH,Reconciled,4/4/2023,1871.8,3/2/2023,PO-00183451,1871.8,CDBG Administration
SI-00631333,30775.69,3/2/2023,Approved,3/2/2023,US MOTELS DENVER NORTH INC,Paid,3/31/2023,30775.69,0,ACH,Reconciled,4/3/2023,30775.69,4/1/2023,PO-00164279,6244.69,CDBG Administration
SI-00631333,30775.69,3/2/2023,Approved,3/2/2023,US MOTELS DENVER NORTH INC,Paid,3/31/2023,,,,Reconciled,4/3/2023,30775.69,4/1/2023,PO-00164279,24531,CDBG Administration
SI-00680704,30631.29,3/2/2023,Approved,3/2/2023,US MOTELS DENVER NORTH INC,Paid,3/31/2023,30631.29,0,ACH,Reconciled,4/3/2023,30631.29,4/1/2023,PO-00164279,6100.29,CDBG Administration
SI-00680704,30631.29,3/2/2023,Approved,3/2/2023,US MOTELS DENVER NORTH INC,Paid,3/31/2023,,,,Reconciled,4/3/2023,30631.29,4/1/2023,PO-00164279,24531,CDBG Administration
SI-00604127,4270.51,3/2/2023,Approved,3/2/2023,NEWMARK PARTNERS LP,Paid,3/31/2023,4270.51,0,ACH,Reconciled,4/3/2023,4270.51,4/1/2023,PO-00193031,4270.51,CDBG Administration
SI-00608244,14162.38,3/3/2023,Approved,4/1/2023,US MOTELS DENVER NORTH INC,Paid,5/8/2023,14162.38,0,ACH,Reconciled,5/9/2023,14162.38,4/2/2023,,3630,CDBG Administration
SI-00678575,56239.21,3/6/2023,Approved,3/6/2023,COLORADO VILLAGE COLLABORATIVE,Paid,4/7/2023,56239.21,0,ACH,Reconciled,4/10/2023,56239.21,3/6/2023,PO-00152675,56239.21,CDBG Administration
SI-00609932,20347.32,3/6/2023,Approved,3/6/2023,B2B SOLUTIONS LLC,Paid,4/5/2023,20347.32,0,ACH,Reconciled,4/6/2023,20347.32,4/5/2023,PO-00128507,20347.32,CDBG Administration
SI-00600317,69064.73,3/6/2023,Approved,3/6/2023,NEWMARK PARTNERS LP,Paid,4/5/2023,69064.73,0,ACH,Reconciled,4/6/2023,69064.73,4/5/2023,PO-00103605,69064.73,CDBG Administration
SI-00675077,82011.39,3/8/2023,Approved,3/8/2023,DRY BOX INC,Paid,3/24/2023,82011.39,0,Check,Reconciled,4/6/2023,82011.39,3/8/2023,PO-00122926,82011.39,CDBG Administration
SI-00688207,7537.97,3/8/2023,Approved,3/8/2023,SAFEWARE INC,Paid,3/21/2023,7537.97,0,ACH,Reconciled,3/22/2023,7537.97,3/8/2023,PO-00162624,7537.97,CDBG Administration
SI-00659076,23810.73,3/8/2023,Approved,3/8/2023,SAFEWARE INC,Paid,3/21/2023,23810.73,0,ACH,Reconciled,3/22/2023,23810.73,3/8/2023,PO-00162624,23810.73,CDBG Administration
SI-00615103,1800,3/13/2023,Approved,3/13/2023,THE COLORADO COALITION FOR THE HOMELESS,Paid,4/12/2023,1800,0,ACH,Reconciled,4/13/2023,1800,4/12/2023,PO-00157598,1800,CDBG Administration
SI-00619924,1800,3/13/2023,Approved,3/13/2023,THE COLORADO COALITION FOR THE HOMELESS,Paid,4/12/2023,1800,0,ACH,Reconciled,4/13/2023,1800,4/12/2023,PO-00149193,1800,CDBG Administration
SI-00681195,1800,3/13/2023,Approved,3/13/2023,THE COLORADO COALITION FOR THE HOMELESS,Paid,4/12/2023,1800,0,ACH,Reconciled,4/13/2023,1800,4/12/2023,PO-00191817,1800,CDBG Administration
SI-00625729,1244.9,3/14/2023,Approved,4/1/2023,LAND TITLE GUARANTEE CO,Paid,4/13/2023,1244.9,0,ACH,Reconciled,4/14/2023,1244.9,3/14/2023,PO-00135978,1244.9,CDBG Administration
SI-00641927,14383.38,3/15/2023,Approved,4/1/2023,B2B SOLUTIONS LLC,Paid,4/26/2023,14383.38,0,ACH,Reconciled,4/27/2023,14383.38,3/15/2023,PO-00128507,14383.38,CDBG Administration
SI-00642108,8102.34,3/15/2023,Approved,4/1/2023,B2B SOLUTIONS LLC,Paid,4/17/2023,8102.34,0,ACH,Reconciled,4/18/2023,8102.34,4/14/2023,PO-00140078,2200,CDBG Administration
SI-00621971,741593.62,3/15/2023,Approved,4/1/2023,SECURITAS SECURITY SERVICES USA INC,Paid,4/14/2023,741593.62,0,ACH,Reconciled,4/17/2023,741593.62,4/14/2023,PO-00199489,19884.51,CDBG Administration
SI-00621971,741593.62,3/15/2023,Approved,4/1/2023,SECURITAS SECURITY SERVICES USA INC,Paid,4/14/2023,,,,Reconciled,4/17/2023,741593.62,4/14/2023,PO-00199489,721709.11,CDBG Administration
SI-00616046,65282.19,3/15/2023,Approved,4/1/2023,BUSCO INC,Paid,4/14/2023,65282.19,0,ACH,Reconciled,4/17/2023,65282.19,3/15/2023,PO-00120415,65282.19,CDBG Administration
SI-00603981,12260.65,3/15/2023,Approved,3/15/2023,CTM INC,Paid,4/14/2023,12260.65,0,ACH,Reconciled,4/17/2023,12260.65,4/14/2023,PO-00169697,12260.65,CDBG Administration
SI-00690842,13269.23,3/16/2023,Approved,4/1/2023,FACILITY SOLUTIONS GROUP FSG,Paid,4/21/2023,13269.23,0,Check,Reconciled,4/28/2023,13269.23,3/16/2023,PO-00191637,13269.23,CDBG Administration
SI-00657031,72426.76,3/16/2023,Approved,4/1/2023,SAINT FRANCIS CENTER,Paid,4/14/2023,72426.76,0,Check,Reconciled,4/24/2023,72426.76,3/16/2023,PO-00153135,72426.76,CDBG Administration
SI-00602308,29884.3,3/16/2023,Approved,3/16/2023,FACILITY SOLUTIONS GROUP FSG,Paid,4/7/2023,29884.3,0,Check,Reconciled,4/14/2023,29884.3,3/16/2023,PO-00139804,29884.3,CDBG Administration
SI-00604942,9666.67,3/16/2023,Approved,3/16/2023,FACILITY SOLUTIONS GROUP FSG,Paid,4/7/2023,9666.67,0,Check,Reconciled,4/14/2023,9666.67,3/16/2023,PO-00170091,9666.67,CDBG Administration
SI-00601506,968.45,3/16/2023,Approved,3/16/2023,OAK ENVIRONMENTAL LLC,Paid,4/5/2023,968.45,0,ACH,Reconciled,4/6/2023,968.45,3/16/2023,PO-00183451,968.45,CDBG Administration
SI-00647046,161399.1,3/16/2023,Approved,3/16/2023,US MOTELS DENVER NORTH INC,Paid,4/14/2023,161399.1,0,ACH,Reconciled,4/17/2023,161399.1,4/15/2023,PO-00179385,161399.1,CDBG Administration
SI-00683195,25039.43,3/16/2023,Approved,3/16/2023,URBAN PEAK DENVER,Paid,3/29/2023,25039.43,0,ACH,Reconciled,3/30/2023,25039.43,3/16/2023,PO-00196472,25039.43,CDBG Administration
SI-00634362,59486.14,3/17/2023,Approved,4/1/2023,US MOTELS DENVER NORTH INC,Paid,5/2/2023,59486.14,0,ACH,Reconciled,5/3/2023,59486.14,3/17/2023,PO-00163466,59486.14,CDBG Administration
SI-00613199,704771.11,3/17/2023,Approved,4/1/2023,SECURITAS SECURITY SERVICES USA INC,Paid,4/12/2023,704771.11,0,ACH,Reconciled,4/13/2023,704771.11,3/17/2023,PO-00199489,21988.92,CDBG Administration
SI-00613199,704771.11,3/17/2023,Approved,4/1/2023,SECURITAS SECURITY SERVICES USA INC,Paid,4/12/2023,,,,Reconciled,4/13/2023,704771.11,3/17/2023,PO-00199489,682782.19,CDBG Administration
SI-00686933,92405,3/19/2023,Approved,4/1/2023,OZ ARCHITECTURE INC,Paid,4/20/2023,92405,0,ACH,Reconciled,4/21/2023,92405,4/18/2023,PO-00152802,92405,CDBG Administration
SI-00603033,62860.08,3/20/2023,Approved,5/1/2023,COLORADO VILLAGE COLLABORATIVE,Paid,6/2/2023,62860.08,0,ACH,Reconciled,6/5/2023,62860.08,4/19/2023,PO-00152675,62860.08,CDBG Administration
SI-00687551,10101.38,3/20/2023,Approved,4/1/2023,US MOTELS DENVER NORTH INC,Paid,5/8/2023,10101.38,0,ACH,Reconciled,5/9/2023,10101.38,4/19/2023,,3907.5,CDBG Administration
SI-00626364,75250.1,3/20/2023,Approved,4/1/2023,NEWMARK PARTNERS LP,Paid,4/26/2023,75250.1,0,ACH,Reconciled,4/27/2023,75250.1,4/19/2023,PO-00103605,75250.1,CDBG Administration
SI-00671701,6536.44,3/20/2023,Approved,4/1/2023,OAK ENVIRONMENTAL LLC,Paid,4/21/2023,6536.44,0,ACH,Reconciled,4/24/2023,6536.44,3/20/2023,PO-00140491,6536.44,CDBG Administration
SI-00622378,26040,3/20/2023,Approved,4/1/2023,THE FAX EAST COLFAX REDEVELOPMENT LLC,Paid,4/19/2023,26040,0,Check,Reconciled,4/25/2023,26040,4/19/2023,PO-00173905,3314,CDBG Administration
SI-00622378,26040,3/20/2023,Approved,4/1/2023,THE FAX EAST COLFAX REDEVELOPMENT LLC,Paid,4/19/2023,,,,Reconciled,4/25/2023,26040,4/19/2023,PO-00173905,22726,CDBG Administration
SI-00606431,28830,3/20/2023,Approved,4/1/2023,THE FAX EAST COLFAX REDEVELOPMENT LLC,Paid,4/11/2023,28830,0,Check,Reconciled,4/19/2023,28830,3/20/2023,PO-00173905,28830,CDBG Administration
SI-00698342,17856,3/20/2023,Approved,3/20/2023,THE FAX EAST COLFAX REDEVELOPMENT LLC,Paid,4/4/2023,17856,0,Check,Reconciled,4/10/2023,17856,3/20/2023,PO-00173905,17856,CDBG Administration
SI-00658088,7121.16,3/20/2023,Approved,3/20/2023,HANDPRINT ARCHITECTURE INC,Paid,4/19/2023,7121.16,0,ACH,Reconciled,4/20/2023,7121.16,4/19/2023,PO-00122730,7121.16,CDBG Administration
SI-00696498,6929.13,3/21/2023,Approved,4/1/2023,COLORADO VILLAGE COLLABORATIVE,Paid,4/25/2023,6929.13,0,ACH,Reconciled,4/26/2023,6929.13,3/21/2023,PO-00106768,6929.13,CDBG Administration
SI-00652254,97970.51,3/22/2023,Approved,5/1/2023,COLORADO VILLAGE COLLABORATIVE,Paid,5/12/2023,97970.51,0,ACH,Reconciled,5/15/2023,97970.51,3/22/2023,PO-00106768,97970.51,CDBG Administration
SI-00632384,5018.42,3/22/2023,Approved,4/1/2023,SAFEWARE INC,Paid,4/21/2023,5018.42,0,ACH,Reconciled,4/24/2023,5018.42,3/22/2023,PO-00100636,5018.42,CDBG Administration
SI-00654240,434000,3/23/2023,Approved,3/23/2023,PROPAC INC,Paid,4/3/2023,434000,0,Check,Reconciled,4/7/2023,434000,3/23/2023,PO-00151534,434000,CDBG Administration
SI-00676676,98750,3/23/2023,Approved,3/23/2023,PROPAC INC,Paid,3/31/2023,98750,0,Check,Reconciled,4/7/2023,98750,3/23/2023,PO-00124149,98750,CDBG Administration
SI-00600104,81225,3/23/2023,Approved,3/23/2023,PROPAC INC,Paid,3/31/2023,81225,0,Check,Reconciled,4/7/2023,81225,3/23/2023,PO-00124149,81225,CDBG Administration
SI-00670630,392000,3/23/2023,Approved,3/23/2023,PROPAC INC,Paid,3/31/2023,392000,0,Check,Reconciled,4/7/2023,392000,3/23/2023,PO-00151534,392000,CDBG Administration
SI-00647320,2716.62,3/24/2023,Approved,3/24/2023,NEWMARK PARTNERS LP,Paid,4/21/2023,2716.62,0,ACH,Reconciled,4/24/2023,2716.62,4/23/2023,PO-00182854,2716.62,CDBG Administration
SI-00632342,3124.31,3/24/2023,Approved,3/24/2023,NEWMARK PARTNERS LP,Paid,4/21/2023,3124.31,0,ACH,Reconciled,4/24/2023,3124.31,4/23/2023,PO-00182854,3124.31,CDBG Administration
SI-00633963,6858.81,3/24/2023,Approved,3/24/2023,NEWMARK PARTNERS LP,Paid,3/30/2023,6858.81,0,ACH,Reconciled,3/31/2023,6858.81,3/24/2023,PO-00182854,6858.81,CDBG Administration
SI-00675792,242729.4,3/28/2023,Approved,4/1/2023,JBK HOTELS LLC,Paid,4/12/2023,242729.4,0,ACH,Reconciled,4/13/2023,242729.4,3/28/2023,PO-00153371,242729.4,CDBG Administration
SI-00658934,257905.93,3/28/2023,Approved,4/1/2023,JBK HOTELS LLC,Paid,4/12/2023,257905.93,0,ACH,Reconciled,4/13/2023,257905.93,3/28/2023,PO-00153371,257905.93,CDBG Administration
SI-00688698,2992,3/29/2023,Approved,3/29/2023,JEWISH FAMILY SERVICE OF COLORADO,Paid,4/28/2023,2992,0,Check,Reconciled,6/6/2023,2992,4/28/2023,PO-00199669,2992,CDBG Administration
SI-00632509,5600,3/30/2023,Approved,4/1/2023,THE SALVATION ARMY,Paid,4/28/2023,5600,0,ACH,Reconciled,5/1/2023,5600,4/29/2023,PO-00132712,5600,CDBG Administration
SI-00691418,22902.58,3/30/2023,Approved,4/1/2023,HANDPRINT ARCHITECTURE INC,Paid,4/11/2023,22902.58,0,ACH,Reconciled,4/12/2023,22902.58,3/30/2023,PO-00128621,22902.58,CDBG Administration
SI-00645645,95294.9,3/30/2023,Approved,4/1/2023,HANDPRINT ARCHITECTURE INC,Paid,4/11/2023,95294.9,0,ACH,Reconciled,4/12/2023,95294.9,3/30/2023,PO-00128621,95294.9,CDBG Administration
SI-00622407,97420.04,3/30/2023,Approved,4/1/2023,HANDPRINT ARCHITECTURE INC,Paid,4/11/2023,97420.04,0,ACH,Reconciled,4/12/2023,97420.04,3/30/2023,PO-00128621,97420.04,CDBG Administration
SI-00672494,87759.4,3/30/2023,Approved,4/1/2023,HANDPRINT ARCHITECTURE INC,Paid,4/11/2023,87759.4,0,ACH,Reconciled,4/12/2023,87759.4,3/30/2023,PO-00128621,87759.4,CDBG Administration
SI-00649315,89845.9,3/30/2023,Approved,4/1/2023,HANDPRINT ARCHITECTURE INC,Paid,4/11/2023,89845.9,0,ACH,Reconciled,4/12/2023,89845.9,3/30/2023,PO-00128621,89845.9,CDBG Administration
SI-00679782,48161.5,3/30/2023,Approved,4/1/2023,HANDPRINT ARCHITECTURE INC,Paid,4/11/2023,48161.5,0,ACH,Reconciled,4/12/2023,48161.5,3/30/2023,PO-00128621,48161.5,CDBG Administration
SI-00685834,4997.5,3/31/2023,Approved,5/1/2023,THE COLORADO COALITION FOR THE HOMELESS,Paid,5/12/2023,4997.5,0,ACH,Reconciled,5/15/2023,4997.5,4/30/2023,PO-00157598,4997.5,CDBG Administration
SI-00694071,29173.7,3/31/2023,Approved,4/1/2023,COLORADO VILLAGE COLLABORATIVE,Paid,4/28/2023,29173.7,0,ACH,Reconciled,5/1/2023,29173.7,4/30/2023,PO-00106768,29173.7,CDBG Administration
SI-00668207,60975.11,3/31/2023,Approved,4/1/2023,HANDPRINT ARCHITECTURE INC,Paid,4/11/2023,60975.11,0,ACH,Reconciled,4/12/2023,60975.11,3/31/2023,PO-00128621,60975.11,CDBG Administration
SI-00661957,16750.92,3/31/2023,Approved,4/1/2023,HANDPRINT ARCHITECTURE INC,Paid,4/11/2023,16750.92,0,ACH,Reconciled,4/12/2023,16750.92,3/31/2023,PO-00128621,16750.92,CDBG Administration
SI-00692095,22901.03,3/31/2023,Approved,4/1/2023,HANDPRINT ARCHITECTURE INC,Paid,4/11/2023,22901.03,0,ACH,Reconciled,4/12/2023,22901.03,3/31/2023,PO-00128621,22901.03,CDBG Administration
SI-00621592,13287,4/2/2023,Approved,4/2/2023,THE DELORES PROJECT,Paid,4/13/2023,13287,0,Check,Reconciled,4/18/2023,13287,4/2/2023,PO-00164882,13287,CDBG Administration
SI-00677964,727173,4/2/2023,Approved,4/2/2023,THE DELORES PROJECT,Paid,4/13/2023,727173,0,Check,Reconciled,4/18/2023,727173,4/2/2023,PO-00164882,727173,CDBG Administration
SI-00635093,434000,4/3/2023,Approved,4/3/2023,PROPAC INC,Paid,5/3/2023,434000,0,Check,Reconciled,5/11/2023,434000,5/3/2023,PO-00151534,434000,CDBG Administration
SI-00671626,13461.56,4/4/2023,Approved,4/4/2023,HANDPRINT ARCHITECTURE INC,Paid,5/4/2023,13461.56,0,ACH,Reconciled,5/5/2023,13461.56,5/4/2023,PO-00128621,6052.92,CDBG Administration
SI-00671626,13461.56,4/4/2023,Approved,4/4/2023,HANDPRINT ARCHITECTURE INC,Paid,5/4/2023,,,,Reconciled,5/5/2023,13461.56,5/4/2023,PO-00128621,7408.64,CDBG Administration
SI-00654300,68326.63,4/4/2023,Approved,4/4/2023,HANDPRINT ARCHITECTURE INC,Paid,4/11/2023,68326.63,0,ACH,Reconciled,4/12/2023,68326.63,4/4/2023,PO-00128621,9390.03,CDBG Administration
SI-00654300,68326.63,4/4/2023,Approved,4/4/2023,HANDPRINT ARCHITECTURE INC,Paid,4/11/2023,,,,Reconciled,4/12/2023,68326.63,4/4/2023,PO-00128621,58936.6,CDBG Administration
SI-00629699,14276.81,4/4/2023,Approved,4/4/2023,HANDPRINT ARCHITECTURE INC,Paid,4/11/2023,14276.81,0,ACH,Reconciled,4/12/2023,14276.81,4/4/2023,PO-00128621,6684.71,CDBG Administration
SI-00629699,14276.81,4/4/2023,Approved,4/4/2023,HANDPRINT ARCHITECTURE INC,Paid,4/11/2023,,,,Reconciled,4/12/2023,14276.81,4/4/2023,PO-00128621,7592.1,CDBG Administration
SI-00651033,14288.28,4/4/2023,Approved,4/4/2023,HANDPRINT ARCHITECTURE INC,Paid,4/11/2023,14288.28,0,ACH,Reconciled,4/12/2023,14288.28,4/4/2023,PO-00128621,6172.47,CDBG Administration
SI-00651033,14288.28,4/4/2023,Approved,4/4/2023,HANDPRINT ARCHITECTURE INC,Paid,4/11/2023,,,,Reconciled,4/12/2023,14288.28,4/4/2023,PO-00128621,8115.81,CDBG Administration
SI-00646342,70768.68,4/4/2023,Approved,4/4/2023,HANDPRINT ARCHITECTURE INC,Paid,4/11/2023,70768.68,0,ACH,Reconciled,4/12/2023,70768.68,4/4/2023,PO-00128621,10228.66,CDBG Administration
SI-00646342,70768.68,4/4/2023,Approved,4/4/2023,HANDPRINT ARCHITECTURE INC,Paid,4/11/2023,,,,Reconciled,4/12/2023,70768.68,4/4/2023,PO-00128621,60540.02,CDBG Administration
SI-00683255,13977.06,4/4/2023,Approved,4/4/2023,HANDPRINT ARCHITECTURE INC,Paid,4/11/2023,13977.06,0,ACH,Reconciled,4/12/2023,13977.06,4/4/2023,PO-00128621,5902.78,CDBG Administration
SI-00683255,13977.06,4/4/2023,Approved,4/4/2023,HANDPRINT ARCHITECTURE INC,Paid,4/11/2023,,,,Reconciled,4/12/2023,13977.06,4/4/2023,PO-00128621,8074.28,CDBG Administration
SI-00658396,68465.83,4/4/2023,Approved,4/4/2023,HANDPRINT ARCHITECTURE INC,Paid,4/11/2023,68465.83,0,ACH,Reconciled,4/12/2023,68465.83,4/4/2023,PO-00128621,9931.2,CDBG Administration
SI-00658396,68465.83,4/4/2023,Approved,4/4/2023,HANDPRINT ARCHITECTURE INC,Paid,4/11/2023,,,,Reconciled,4/12/2023,68465.83,4/4/2023,PO-00128621,58534.63,CDBG Administration
SI-00699900,46087.17,4/4/2023,Approved,4/4/2023,HANDPRINT ARCHITECTURE INC,Paid,4/11/2023,46087.17,0,ACH,Reconciled,4/12/2023,46087.17,4/4/2023,PO-00128621,46087.17,CDBG Administration
SI-00649400,33164.45,4/5/2023,Approved,4/5/2023,BOB BARKER COMPANY INC,Paid,5/5/2023,33164.45,0,ACH,Reconciled,5/8/2023,33164.45,5/5/2023,PO-00100089,33164.45,CDBG Administration
SI-00642601,14297.94,4/5/2023,Approved,4/5/2023,HANDPRINT ARCHITECTURE INC,Paid,4/11/2023,14297.94,0,ACH,Reconciled,4/12/2023,14297.94,4/5/2023,PO-00128621,5923.8,CDBG Administration
SI-00642601,14297.94,4/5/2023,Approved,4/5/2023,HANDPRINT ARCHITECTURE INC,Paid,4/11/2023,,,,Reconciled,4/12/2023,14297.94,4/5/2023,PO-00128621,8374.14,CDBG Administration
SI-00644108,72761.65,4/5/2023,Approved,4/5/2023,HANDPRINT ARCHITECTURE INC,Paid,4/11/2023,72761.65,0,ACH,Reconciled,4/12/2023,72761.65,4/5/2023,PO-00128621,8543.05,CDBG Administration
SI-00644108,72761.65,4/5/2023,Approved,4/5/2023,HANDPRINT ARCHITECTURE INC,Paid,4/11/2023,,,,Reconciled,4/12/2023,72761.65,4/5/2023,PO-00128621,64218.6,CDBG Administration
SI-00692386,6677.15,4/6/2023,Approved,4/6/2023,NEWMARK PARTNERS LP,Paid,5/5/2023,6677.15,0,ACH,Reconciled,5/8/2023,6677.15,5/6/2023,PO-00193031,6677.15,CDBG Administration
SI-00657118,31997.85,4/6/2023,Approved,4/6/2023,JBK HOTELS LLC,Paid,5/5/2023,31997.85,0,ACH,Reconciled,5/8/2023,31997.85,5/6/2023,PO-00131634,31997.85,CDBG Administration
SI-00666466,35044.88,4/6/2023,Approved,4/6/2023,JBK HOTELS LLC,Paid,5/5/2023,35044.88,0,ACH,Reconciled,5/8/2023,35044.88,5/6/2023,PO-00131634,35044.88,CDBG Administration
SI-00696779,1430,4/7/2023,Approved,5/1/2023,COLORADO VILLAGE COLLABORATIVE,Paid,5/12/2023,1430,0,ACH,Reconciled,5/15/2023,1430,4/7/2023,PO-00106768,1430,CDBG Administration
SI-00658917,455400,4/7/2023,Approved,4/7/2023,CATHOLIC CHARITIES AND COMMUNITY SERVICES OF DENVER,Paid,4/11/2023,455400,0,Check,Reconciled,4/14/2023,455400,4/7/2023,PO-00186453,455400,CDBG Administration
