NBHD_NAME,TTL_POPULATION_ALL,HISPANIC_OR_LATINO,WHITE,BLACK,NATIVE_AMERICAN,ASIAN,HAWAIIAN_PI,OTHER_RACE,TWO_OR_MORE,PCT_HISPANIC,PCT_WHITE,PCT_BLACK,PCT_NATIVEAM,PCT_ASIAN,PCT_HAWAIIANPI,PCT_OTHERRACE,PCT_TWOORMORE_RACES,MALE,FEMALE,AGE_LESS_5,AGE_5_TO_9,AGE_10_TO_14,AGE_15_TO_17,AGE_0_TO_9,AGE_10_TO_19,AGE_20_TO_29,AGE_30_TO_39,AGE_40_TO_49,AGE_50_TO_59,AGE_60_TO_69,AGE_70_TO_79,AGE_80_PLUS,AGELESS18,AGE65PLUS,PCT_AGELESS18,PCT_AGE65PLUS,MEDIAN_AGE_ALL,MEDIAN_AGE_MALE,MEDIAN_AGE_FEMALE,TTL_AGE_3_PLUS_ENRSTATUS,ENROLLED_IN_SCHOOL,NURSERY_OR_PRESCHOOL,KINDERGARTEN,GRADES_1_TO_4,GRADES_5_TO_8,GRADES_9_TO_12,COLLEGE_UNDERGRADUATE,GRADUATE_SCHOOL,NOT_ENROLLED,TOTAL_COMMUTERS,COMMUTE_LESS_15,COMMUTE_15_TO_30,COMMUTE_30_TO_45,COMMUTE_45_TO_60,COMMUTE_60_TO_PLUS,TTLPOP_25PLUS_EDU,LESS_THAN_HS_DIPLOMA_EDU,HSGRAD_OR_EQUIV_EDU,SOMECOLLEGE_OR_AA_EDU,BACHELORS_OR_HIGHER_EDU,TTLPOP_5PLUS_LNG,ONLY_ENGLISH_LNG,SPANISH_LNG,TTL_HOUSING_UNITS,OCCUPIED_HU,VACANT_HU,OWNER_OCCUPIED_HU,RENTER_OCCUPIED_HU,TTL_HOUSEHOLDS,FAMILY_HOUSEHOLDS,MARRIED_COUPLE_FAMILY,OTHER_FAMILY,MALE_HHLDR_NO_WIFE_PRESENT,FEMALE_HHLDR_NO_HSBND_PRESENT,NONFAMILY_HOUSEHOLD,HOUSEHOLDER_ALONE,HOUSEHOLDER_NOT_ALONE,HH_INC_LESS_10000,HH_INC_10000_14999,HH_INC_15000_19999,HH_INC_20000_24999,HH_INC_25000_29999,HH_INC_30000_34999,HH_INC_35000_39999,HH_INC_40000_44999,HH_INC_45000_49999,HH_INC_50000_59999,HH_INC_60000_74999,HH_INC_75000_99999,HH_INC_100000_124999,HH_INC_125000_149999,HH_INC_150000_199999,HH_INC_OVER_200000,MED_HH_INCOME,MED_FAMILY_INCOME,PER_CAPITA_INCOME,AVG_HH_INCOME,AVG_FAM_INCOME,MEDIAN_EARNINGS,MEDIAN_EARN_MALE,MEDIAN_EARN_FEMALE,MEDEARN_LESSHS,MEDEARN_HIGHSCHOOL,MEDEARN_SOMECOLLEGE,MEDEARN_BACHELORS,MEDEARN_GRAD_PROFESSIONAL,MED_YR_STRUCTURE_BUILT,BUILT_2014_OR_LATER,BUILT_2010_2013,BUILT_2000_2009,BUILT_1990_1999,BUILT_1980_1989,BUILT_1970_1979,BUILT_1960_1969,BUILT_1950_1959,BUILT_1940_1949,BUILT_1939_OR_EARLIER,MED_CONTRACT_RENT,MED_GROSS_RENT,MEDIAN_HOME_VALUE,NATIVE,FOREIGN_BORN_FB,EUROPEAN_FB,NORTHERN_EUROPE_FB,WESTERN_EUROPE_FB,SOUTHERN_EUROPE_FB,EASTERN_EUROPE_FB,ASIA_FB,EASTERN_ASIA_FB,SOUTH_CENTRAL_ASIA_FB,SOUTH_EASTERN_ASIA_FB,WESTERN_ASIA_FB,AFRICA_FB,EASTERN_AFRICA_FB,MIDDLE_AFRICA_FB,SOUTHERN_AFRICA_FB,WESTERN_AFRICA_FB,OCEANIA_FB,AMERICAS_FB,LATIN_AMERICA_FB,CARRIBEAN_FB,CENTRAL_AMERICA_FB,SOUTH_AMERICA_FB,NORTH_AMERICA_FB,PCT_POVERTY,PCT_FAM_POVERTY
Elyria Swansea,6687.0,5389.0,960.0,259.0,25.0,15.0,0.0,0.0,39.0,80.58920293,14.35621355,3.87318678,0.37385973,0.22431584,0.0,0.0,0.58322118,3485.0,3202.0,506.0,542.0,579.0,300.0,1048.0,1101.0,1021.0,701.0,1100.0,913.0,440.0,211.0,152.0,1927.0,672.0,28.81710782,10.04934948,32.5,30.9,35.0,6319,1790,95,159,433,400,403,212,88,4529,2876.0,605.0,1359.0,511.0,267.0,134.0,4023.0,1711.0,1109.0,598.0,605.0,6181.0,1945.0,4236.0,1938,1824,114,873,951,1824,1376,751,625,201,424,448,336,112,134,148,42,227,71,128,31,111,115,247,108,204,128,45,11,74,45943,48915,17508,45943,48915,28750,32813,25406,25417,27130,29877,33750,None,1951.0,0,0,61,133,26,220,108,462,279,649,894,1019,171600,4343,2344,15,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2329,2329,39,2281,9,0,20.3,19.5494186
Wellshire,3529.0,371.0,2932.0,26.0,0.0,81.0,0.0,0.0,119.0,10.51289317,83.08302635,0.73675262,0.0,2.29526778,0.0,0.0,3.37206007,1691.0,1838.0,266.0,242.0,164.0,148.0,508.0,383.0,176.0,449.0,465.0,493.0,442.0,320.0,293.0,820.0,981.0,23.23604421,27.79824313,45.2,42.0,48.2,3370,817,106,34,214,148,159,70,86,2553,1615.0,403.0,624.0,435.0,76.0,77.0,2538.0,60.0,233.0,458.0,1787.0,3263.0,2971.0,181.0,1448,1408,40,1256,152,1408,1032,877,155,30,125,376,321,55,25,8,30,47,13,20,33,43,81,115,91,125,134,92,194,357,114881,137250,62829,114881,137250,68958,97132,55250,None,36193,50795,73229,95735,1957.0,0,6,32,20,0,237,157,961,35,0,2018,2143,584500,3280,249,76,17,0,10,49,58,46,0,12,0,31,31,0,0,0,0,84,84,4,71,9,0,3.8,2.03488372
University,9576.0,720.0,7672.0,261.0,5.0,677.0,0.0,0.0,241.0,7.5416306,80.42626342,2.93100355,0.04038772,6.65916484,0.0,0.0,2.40154986,4953.0,4623.0,378.0,318.0,271.0,84.0,696.0,2102.0,2977.0,1496.0,840.0,481.0,682.0,182.0,120.0,1051.0,602.0,10.31563494,5.93294445,25.3,25.6,24.75,9306,4659,140,34,294,179,109,3226,677,4647,4313.0,1208.0,1810.0,1007.0,158.0,130.0,5138.0,79.0,427.0,958.0,3674.0,9198.0,7761.0,313.0,3831,3511,320,1810,1701,3511,1384,1076,308,170,138,2127,1473,654,442,139,194,94,216,149,116,127,67,288,242,232,344,364,238,259,57594,103862,34148,57594,103862,49536,55983,40092,None,35511,27356,53718,58067,1955.0,38,21,135,83,146,363,601,898,661,885,1069,1190,417800,8561,1015,258,50,160,0,48,504,416,28,18,42,75,27,0,0,38,0,178,144,19,64,61,34,17.65,4.9230879
Rosedale,2498.0,254.0,2101.0,35.0,10.0,92.0,0.0,0.0,6.0,10.16813451,84.10728583,1.4011209,0.40032026,3.68294636,0.0,0.0,0.24019215,1280.0,1218.0,85.0,127.0,33.0,37.0,212.0,70.0,459.0,705.0,320.0,305.0,178.0,79.0,170.0,282.0,381.0,11.28903122,15.25220176,35.5,33.8,38.3,2430,375,24,39,67,29,41,97,78,2055,1600.0,235.0,891.0,285.0,152.0,37.0,2159.0,37.0,175.0,402.0,1545.0,2413.0,2225.0,84.0,1439,1298,141,706,592,1298,517,446,71,39,32,781,573,208,73,26,61,6,53,64,61,45,14,94,103,215,136,104,132,111,82959,109583,53643,82959,109583,52173,54297,50926,None,None,30781,61667,63250,1952.0,25,40,105,86,137,65,56,256,296,373,1518,1518,438500,2346,152,48,8,0,0,40,39,30,0,9,0,0,0,0,0,0,0,65,59,11,27,21,6,8.7,1.93423598
Cheesman Park,8895.0,747.0,7269.0,342.0,45.0,225.0,28.0,1.0,238.0,8.07479321,82.16332498,3.55507558,0.67608173,2.81240986,0.25148195,0.0089815,2.45785119,4625.0,4270.0,229.0,63.0,179.0,77.0,292.0,303.0,2233.0,2294.0,948.0,860.0,1158.0,530.0,277.0,548.0,1669.0,5.61071057,21.07495848,36.75,39.2,35.05,8715,953,30,14,31,154,123,339,262,7762,5707.0,1348.0,2649.0,1255.0,231.0,224.0,7976.0,134.0,478.0,2045.0,5319.0,8666.0,7828.0,355.0,5775,5338,437,1917,3421,5338,1483,1172,311,99,212,3855,2850,1005,278,194,163,102,242,326,298,353,179,485,623,690,424,241,374,366,59970,106492,53270,59970,106492,47132,47554,44684,None,35286,31093,41586,63770,1961.0,146,9,61,132,252,1035,1604,389,281,1866,1100,1160,317200,8276,619,270,59,50,88,73,109,53,34,22,0,78,0,0,0,0,0,162,104,41,38,25,58,10.3,4.3699187
Hilltop,9510.0,490.0,8151.0,324.0,86.0,228.0,0.0,61.0,170.0,4.90892532,86.49063426,3.09735476,0.809885,2.28631433,0.0,0.75870647,1.64817987,4203.0,5307.0,941.0,594.0,573.0,184.0,1535.0,816.0,766.0,1432.0,1331.0,1250.0,1215.0,610.0,555.0,2292.0,2120.0,24.57099747,22.20856102,42.2,43.85,40.05,8935,2149,252,99,521,456,280,291,250,6786,3960.0,869.0,1808.0,882.0,222.0,179.0,6672.0,121.0,435.0,724.0,5392.0,8569.0,7759.0,248.0,4042,3923,119,2916,1007,3923,2487,2131,356,93,263,1436,1155,281,142,73,52,140,62,63,89,65,73,194,295,332,331,356,346,1310,141230,183406,100787,141230,183406,85006,108921,62981,None,32932,82210,84844,101286,1961.0,47,36,604,295,157,462,405,1077,481,478,1748,1958,771850,8833,677,361,60,107,55,139,193,66,8,6,113,35,0,0,0,0,42,46,16,6,0,10,30,5.1,3.01909052
Montclair,5896.0,892.0,4683.0,34.0,24.0,95.0,0.0,34.0,134.0,15.12890095,79.42672999,0.57666214,0.40705563,1.61126187,0.0,0.57666214,2.27272727,2808.0,3088.0,333.0,303.0,192.0,143.0,636.0,425.0,946.0,1125.0,939.0,657.0,708.0,259.0,201.0,971.0,866.0,16.4687924,14.68792402,39.1,39.2,38.7,5646,1146,131,87,179,127,158,268,196,4500,3241.0,402.0,1620.0,944.0,148.0,127.0,4569.0,189.0,396.0,667.0,3317.0,5563.0,4867.0,391.0,2923,2816,107,2014,802,2816,1248,985,263,44,219,1568,1202,366,90,55,49,91,53,55,66,29,90,183,243,542,384,206,230,450,94861,120543,59705,94861,120543,58068,62075,56235,14114,35321,44335,72607,73485,1947.0,0,18,59,136,96,92,138,574,1188,622,1343,1481,385800,5315,581,93,0,0,0,93,159,34,110,15,0,17,17,0,0,0,24,288,224,0,186,38,64,5.7,6.08974359
Hale,7060.0,639.0,5594.0,351.0,23.0,308.0,0.0,0.0,145.0,8.81048448,81.1483651,4.43372025,0.33730477,3.42117225,0.0,0.0,1.84895315,3385.0,3675.0,379.0,317.0,168.0,46.0,696.0,222.0,1110.0,1807.0,1126.0,906.0,613.0,345.0,235.0,910.0,1064.0,13.67483561,15.91069075,38.4,39.75,37.35,6775,1123,96,86,234,137,64,270,236,5652,4090.0,1248.0,1792.0,665.0,200.0,185.0,5909.0,213.0,534.0,1618.0,3544.0,6681.0,5983.0,225.0,4521,4128,393,1882,2246,4128,1452,1054,398,84,314,2676,2151,525,408,248,113,104,196,155,147,247,247,375,383,473,226,239,347,220,65704,96830,46143,65704,96830,51400,52892,50471,None,41154,38904,54996,63918,1951.0,101,33,76,110,151,421,708,789,1153,979,1024,1074,365200,6397,663,174,30,44,0,100,218,152,12,15,17,29,14,0,0,0,0,242,234,0,170,64,8,11.1,4.38633976
North Park Hill,10351.0,1212.0,5679.0,2733.0,92.0,112.0,0.0,135.0,388.0,11.97020346,54.28481293,26.58671728,0.94533498,1.06155262,0.0,1.31528051,3.83609823,5141.0,5210.0,848.0,694.0,451.0,221.0,1542.0,780.0,942.0,2338.0,1827.0,948.0,977.0,727.0,270.0,2214.0,1914.0,21.21784705,18.37991069,37.75,36.95,38.9,9812,2179,170,218,449,389,379,304,270,7633,5319.0,652.0,2959.0,1150.0,264.0,294.0,7770.0,882.0,973.0,1671.0,4244.0,9503.0,8431.0,839.0,4273,4139,134,3599,540,4139,2610,1916,694,178,516,1529,1095,434,236,70,50,117,85,115,140,75,71,319,300,668,459,332,499,603,96184,107840,45777,96184,107840,54988,62797,45873,17662,None,43951,55208,80688,1945.0,0,0,48,54,36,36,186,1191,1394,1328,1074,1270,361500,9677,674,21,21,0,0,0,94,0,0,94,0,99,0,0,13,0,0,460,412,8,404,0,48,7.3,6.57209613
South Park Hill,9491.0,865.0,7245.0,850.0,29.0,258.0,0.0,0.0,244.0,9.14949401,76.20883794,9.04141034,0.29852146,2.73564613,0.0,0.0,2.56609013,4540.0,4951.0,722.0,615.0,468.0,192.0,1337.0,1047.0,855.0,1438.0,1312.0,1280.0,1511.0,559.0,152.0,1997.0,2098.0,20.93221582,22.17509914,39.8,39.9,39.7,8994,2234,172,152,451,380,291,657,131,6760,4260.0,989.0,1918.0,969.0,220.0,164.0,6685.0,305.0,416.0,1165.0,4799.0,8769.0,7724.0,583.0,3834,3725,109,3030,695,3725,2475,2179,296,73,223,1250,972,278,105,117,92,91,77,145,71,69,68,208,238,451,469,332,409,783,105704,132762,56392,105704,132762,56084,65378,53610,31250,49010,33630,64479,72914,1939.0,0,50,103,56,27,94,115,428,506,2455,933,1015,528750,8627,864,149,89,19,10,31,194,30,87,6,71,73,8,25,19,13,19,429,337,12,315,10,92,8.15,6.13808599
Virginia Village,15002.0,2826.0,10302.0,877.0,8.0,567.0,0.0,83.0,339.0,18.5539626,68.74573104,5.96975607,0.05271481,3.79762751,0.0,0.55559484,2.32461313,7470.0,7532.0,959.0,843.0,779.0,248.0,1802.0,1223.0,2944.0,2993.0,1763.0,1685.0,1387.0,597.0,608.0,2829.0,2201.0,18.799427,14.80387325,36.325,36.275,36.0,14379,3278,185,128,794,511,463,913,284,11101,7542.0,1704.0,2987.0,1704.0,641.0,506.0,10866.0,783.0,1794.0,3064.0,5225.0,14043.0,11317.0,1323.0,6778,6427,351,2848,3579,6427,3177,2362,815,308,507,3250,2252,998,345,240,226,373,423,301,229,360,436,562,548,897,522,331,407,227,62578,74919,34045,62578,74919,38866,41630,37843,26005,27750,30811,46287,54353,1963.0,51,24,73,137,402,1249,1943,2643,158,98,1005,1135,334375,12664,2338,363,70,71,42,180,826,232,9,232,353,386,138,0,44,11,0,763,737,0,659,78,26,15.275,11.86393783
DIA,1428.0,377.0,543.0,369.0,8.0,23.0,0.0,0.0,108.0,26.40056022,38.02521008,25.84033613,0.56022409,1.61064426,0.0,0.0,7.56302521,643.0,785.0,157.0,113.0,82.0,56.0,270.0,143.0,260.0,296.0,221.0,85.0,118.0,35.0,0.0,408.0,106.0,28.57142857,7.42296919,31.3,32.7,30.3,1331,404,75,26,59,72,67,85,20,927,723.0,82.0,335.0,203.0,53.0,50.0,934.0,62.0,175.0,462.0,235.0,1271.0,1099.0,97.0,624,600,24,414,186,600,308,176,132,26,106,292,245,47,5,74,8,8,33,24,21,43,43,97,111,61,61,3,0,8,51971,60662,24995,51971,60662,41064,45242,37065,None,34531,40625,45714,None,2005.0,0,32,522,37,13,20,0,0,0,0,1172,1344,143600,1273,155,8,0,8,0,0,23,6,0,17,0,64,64,0,0,0,0,60,60,0,53,7,0,8.9,8.11688312
University Hills,5706.0,682.0,4507.0,123.0,39.0,133.0,0.0,0.0,222.0,9.08805484,78.73986356,4.16161264,0.44982699,2.85561773,0.0,0.0,4.70502424,2824.0,2882.0,341.0,180.0,217.0,74.0,521.0,301.0,475.0,1259.0,870.0,638.0,791.0,319.0,532.0,812.0,1281.0,13.90392687,28.21543136,47.4,39.8,52.25,5425,747,45,16,153,181,164,114,74,4678,2859.0,535.0,1186.0,744.0,231.0,163.0,4745.0,438.0,634.0,1175.0,2498.0,5365.0,4750.0,478.0,2904,2740,164,1794,946,2740,1424,995,429,220,209,1316,992,324,61,68,140,137,126,154,98,122,109,210,216,432,283,191,224,169,59186,87733,42270,59186,87733,44496,47892,38890,22071,38165,32713,53302,53875,1959.5,81,165,90,9,92,123,437,1799,92,16,1289,1473,313700,5253,453,42,8,21,0,13,71,48,6,17,0,15,0,0,0,10,0,325,317,9,249,59,8,4.6,0.40322581
Harvey Park,13173.0,7921.0,4291.0,218.0,13.0,602.0,0.0,13.0,115.0,59.54402811,33.10630163,1.82111097,0.10950135,4.41963133,0.0,0.10950135,0.88992527,6613.0,6560.0,1255.0,1201.0,848.0,492.0,2456.0,1550.0,2268.0,1988.0,1505.0,1519.0,878.0,532.0,477.0,3796.0,1596.0,28.777832,12.09875073,31.1,30.55,32.8,12400,3521,301,228,994,787,512,633,66,8879,6224.0,844.0,2408.0,1948.0,725.0,299.0,8210.0,2026.0,2578.0,1735.0,1871.0,11918.0,7284.0,4073.0,4459,4299,160,2710,1589,4299,2980,1862,1118,271,847,1319,950,369,231,173,228,121,183,259,242,177,247,356,614,895,301,85,102,85,56400,59920,22028,56400,59920,31798,34661,26794,21682,28037,36917,52925,56185,1958.0,24,15,59,88,75,716,470,2732,270,10,872,1022,238300,10521,2652,79,22,23,0,34,405,64,0,341,0,0,0,0,0,0,0,2168,2160,8,2033,119,8,17.3,15.68371245
Mar Lee,13118.0,8755.0,3147.0,306.0,274.0,538.0,0.0,29.0,69.0,66.24281755,25.15711757,2.20051152,1.8315508,3.91292234,0.0,0.19385027,0.46122995,6603.0,6515.0,1144.0,1030.0,783.0,678.0,2174.0,1893.0,1996.0,1967.0,1903.0,1387.0,1040.0,333.0,425.0,3635.0,1444.0,27.43202638,11.34056194,32.35,31.0,34.5,12289,2821,166,127,880,525,810,313,0,9468,5752.0,1044.0,1846.0,1794.0,610.0,458.0,8144.0,2542.0,2848.0,1495.0,1259.0,11974.0,5697.0,5682.0,4416,4176,240,2378,1798,4176,3025,2047,978,295,683,1151,927,224,303,177,210,247,224,152,405,235,219,558,439,386,239,234,114,34,48060,51777,19740,48060,51777,34307,38648,32612,30169,31664,35276,41245,34342,1956.0,0,0,18,147,121,467,254,2875,449,85,992,1108,184100,9391,3727,37,0,13,0,24,447,30,19,398,0,70,53,0,0,0,0,3173,3173,0,3173,0,0,15.7,11.38429025
Westwood,17392.0,13628.0,2234.0,616.0,263.0,633.0,0.0,0.0,18.0,78.2479349,12.73813201,3.626404,1.51928149,3.75755344,0.0,0.0,0.11069417,8541.0,8851.0,1636.0,2019.0,1964.0,744.0,3655.0,3125.0,2767.0,2481.0,2132.0,1533.0,970.0,458.0,271.0,6363.0,1344.0,36.58624539,7.7816269,27.625,28.175,27.175,16473,5377,417,431,1621,1316,1152,381,59,11096,6743.0,994.0,1981.0,2419.0,772.0,577.0,9603.0,3741.0,3105.0,1943.0,814.0,15756.0,6067.0,8960.0,5077,4785,292,1727,3058,4785,3519,2204,1315,203,1112,1266,878,388,462,330,520,462,188,287,389,283,246,427,262,504,256,42,86,41,35135,35640,14679,35135,35640,25731,30450,19032,21515,28091,29722,31929,None,1954.25,0,67,171,136,118,538,244,2211,1316,276,819,950,176575,12086,5306,0,0,0,0,0,496,73,49,374,0,146,69,8,25,1,0,4664,4657,35,4617,5,7,31.55,29.82489443
East Colfax,11059.0,2760.0,3799.0,2875.0,125.0,1128.0,0.0,50.0,322.0,26.08112747,35.79998254,24.97813562,1.01834174,8.76362189,0.0,0.55151114,2.8072796,5560.0,5499.0,760.0,620.0,826.0,352.0,1380.0,1406.0,2166.0,2514.0,1320.0,1405.0,462.0,251.0,155.0,2558.0,935.0,22.19905864,8.97930787,32.25,31.0,33.55,10578,2792,76,125,564,628,485,545,369,7786,5747.0,880.0,2165.0,1613.0,667.0,422.0,7332.0,1217.0,1728.0,2058.0,2329.0,10299.0,6679.0,1630.0,4695,4454,241,1627,2827,4454,2089,1197,892,233,659,2365,1707,658,490,279,226,313,240,212,273,111,325,415,454,482,334,119,128,53,44367,50223,25526,44367,50223,33017,35154,28937,18580,22493,34950,48560,49943,1958.5,0,31,345,188,341,717,565,871,1159,478,971,1073,219300,8197,2862,41,16,10,0,15,991,153,409,356,73,990,774,46,0,88,6,834,821,0,721,100,13,26.4,22.59712844
Auraria,798.0,169.0,540.0,21.0,0.0,42.0,6.0,10.0,10.0,21.17794486,67.66917293,2.63157895,0.0,5.26315789,0.7518797,1.25313283,1.25313283,375.0,423.0,0.0,0.0,0.0,0.0,0.0,546.0,181.0,29.0,17.0,11.0,14.0,0.0,0.0,0.0,4.0,0.0,0.50125313,19.6,19.6,19.7,798,729,0,0,0,0,0,725,4,69,294.0,145.0,64.0,55.0,10.0,20.0,92.0,0.0,6.0,37.0,49.0,798.0,690.0,44.0,66,39,27,30,9,39,7,7,0,0,0,32,14,18,4,0,0,0,0,0,0,4,9,3,0,0,4,0,0,15,None,None,9992,None,None,None,None,None,None,None,11023,None,None,1939.0,0,0,4,0,0,4,0,9,0,49,None,None,500000,734,64,0,0,0,0,0,31,21,10,0,0,11,11,0,0,0,0,22,22,0,22,0,0,12.9,0.0
University Park,8099.0,729.0,6462.0,52.0,44.0,585.0,0.0,0.0,227.0,9.74628878,78.47019699,0.76367403,0.67093626,7.35549309,0.0,0.0,2.99341085,3975.0,4124.0,241.0,381.0,348.0,219.0,622.0,813.0,2250.0,1174.0,958.0,952.0,604.0,449.0,277.0,1189.0,1260.0,13.74780604,15.70309742,32.35,33.65,31.05,7949,2888,80,85,313,272,303,1311,524,5061,3749.0,969.0,1869.0,484.0,207.0,220.0,5242.0,150.0,480.0,1099.0,3513.0,7858.0,6629.0,420.0,4059,3622,437,1542,2080,3622,1614,1322,292,57,235,2008,1373,635,390,119,69,194,162,165,125,145,107,283,315,296,231,107,206,708,69846,132190,55752,69846,132190,48346,71100,33902,None,26822,22334,60886,57819,1969.0,83,261,789,150,239,391,699,716,463,268,1055,1114,655000,7084,1015,124,31,57,0,36,650,416,63,97,74,9,0,0,9,0,0,232,106,0,64,42,126,17.7,5.30542364
Bear Valley,8875.0,2730.0,4780.0,668.0,314.0,327.0,0.0,0.0,56.0,27.60639444,58.9976649,5.20654716,2.88597292,4.47848348,0.0,0.0,0.82493711,4449.0,4426.0,345.0,548.0,410.0,310.0,893.0,876.0,1632.0,1128.0,1303.0,1472.0,773.0,416.0,382.0,1613.0,1466.0,18.64961758,19.90981186,41.1,42.25,38.6,8689,1735,49,144,340,323,383,418,78,6954,4612.0,640.0,1911.0,1349.0,409.0,303.0,6488.0,649.0,1606.0,2065.0,2168.0,8530.0,7099.0,1128.0,3930,3723,207,2149,1574,3723,2151,1406,745,494,251,1572,1187,385,182,82,198,63,88,364,224,315,88,253,409,525,397,240,210,85,59586,75154,32680,59586,75154,40838,47458,35178,15625,29687,42750,49719,67354,1973.0,3,14,413,137,338,1660,1198,109,24,34,1088,1212,265600,8166,709,28,22,0,0,6,236,21,63,152,0,0,0,0,0,0,0,445,438,10,408,20,7,9.7,6.48721651
Harvey Park South,9578.0,4797.0,3476.0,226.0,13.0,602.0,453.0,0.0,11.0,48.91211978,36.79661933,1.91492967,0.15627494,6.0950613,6.00104102,0.0,0.12395395,4954.0,4624.0,807.0,560.0,694.0,474.0,1367.0,1559.0,1129.0,1201.0,1110.0,1269.0,1040.0,516.0,387.0,2535.0,1717.0,27.12705198,18.2998097,35.5,32.85,38.3,9134,2533,288,106,337,676,530,452,144,6601,4306.0,925.0,1569.0,1177.0,497.0,138.0,6019.0,1228.0,1458.0,1991.0,1342.0,8771.0,6024.0,1972.0,3375,3272,103,1991,1281,3272,2089,1482,607,184,423,1183,969,214,334,84,104,143,269,183,149,166,101,235,381,287,301,299,130,106,59272,76627,28102,59272,76627,36158,47176,28826,19354,29598,48150,48312,59412,1961.0,0,12,53,208,271,620,231,1876,46,58,1126,1340,263450,8178,1400,75,0,46,0,29,369,15,53,301,0,30,0,0,0,0,34,892,877,43,641,193,15,13.0,11.43517575
Southmoor Park,5326.0,184.0,4613.0,252.0,4.0,172.0,0.0,0.0,101.0,3.59637526,86.93077376,4.27196622,0.10298661,3.40809906,0.0,0.0,1.68979909,2792.0,2534.0,245.0,118.0,143.0,93.0,363.0,273.0,1628.0,987.0,709.0,618.0,313.0,256.0,179.0,599.0,818.0,12.6794353,17.96687264,37.35,37.45,39.05,5152,952,69,16,95,137,107,350,178,4200,3552.0,1002.0,1708.0,659.0,126.0,57.0,4127.0,84.0,212.0,962.0,2869.0,5081.0,4530.0,83.0,3125,2947,178,923,2024,2947,1024,766,258,97,161,1923,1394,529,144,52,63,49,107,171,115,147,106,208,347,458,400,216,148,216,74002,106506,51652,74002,106506,52581,55902,45404,30000,35688,38614,54338,71844,1984.0,191,262,1047,650,54,181,456,270,7,7,1314,1560,444450,4667,659,197,6,55,0,136,268,66,78,0,124,64,0,0,17,23,0,130,112,58,8,46,18,7.55,4.03344123
Hampden South,15603.0,1686.0,11055.0,1706.0,6.0,706.0,0.0,117.0,327.0,10.25746542,71.81156758,10.09265078,0.0601851,5.25616875,0.0,0.53119041,1.99077197,7685.0,7918.0,589.0,928.0,545.0,294.0,1517.0,1062.0,2517.0,2567.0,2231.0,1910.0,1949.0,1142.0,708.0,2356.0,3813.0,13.85713164,24.36823864,40.56666667,39.1,43.73333333,15266,3190,165,177,735,490,366,1048,209,12076,8470.0,2169.0,4117.0,1736.0,285.0,163.0,12245.0,601.0,1681.0,3513.0,6450.0,15014.0,12791.0,747.0,8250,7713,537,4192,3521,7713,3712,2771,941,367,574,4001,3209,792,188,183,254,234,256,650,320,340,352,504,907,1015,835,377,684,614,69930,99149,47391,69930,99149,46879,55156,39015,71048,30662,44783,52279,62378,1979.33333333,308,64,578,823,1211,3188,1743,197,41,97,1294,1365,349167,13902,1701,402,48,48,9,297,852,238,267,118,229,94,33,0,11,0,0,353,272,0,171,101,81,4.83333333,2.34324392
Goldsmith,5819.0,1196.0,3557.0,626.0,55.0,124.0,0.0,82.0,179.0,20.55335968,61.12734147,10.75786218,0.94517958,2.13095034,0.0,1.40917683,3.07612992,2979.0,2840.0,406.0,346.0,211.0,87.0,752.0,403.0,980.0,1023.0,623.0,748.0,557.0,284.0,449.0,1050.0,1190.0,18.04433752,20.45024918,36.6,34.2,38.9,5672,1173,174,66,229,187,132,258,127,4499,2837.0,367.0,1447.0,619.0,212.0,192.0,4246.0,428.0,1287.0,1056.0,1475.0,5413.0,4507.0,560.0,2863,2744,119,810,1934,2744,1208,761,447,257,190,1536,1220,316,248,177,162,168,275,340,115,94,189,205,138,245,151,69,88,80,35078,50765,26333,35078,50765,30393,31218,28914,21607,30452,24344,40375,49118,1973.0,0,0,33,43,252,1524,858,121,0,32,884,963,362900,5027,792,40,27,0,13,0,143,29,54,0,60,173,14,0,0,126,0,436,432,0,400,32,4,18.0,13.0794702
Cory - Merrill,4749.0,449.0,4080.0,53.0,14.0,96.0,0.0,0.0,57.0,9.45462203,85.91282375,1.11602443,0.29479891,2.02147821,0.0,0.0,1.20025268,2595.0,2154.0,488.0,339.0,175.0,108.0,827.0,321.0,511.0,985.0,733.0,347.0,628.0,222.0,175.0,1110.0,763.0,23.37334176,16.06654032,38.0,34.5,42.1,4483,1160,205,69,306,110,137,207,126,3323,2308.0,627.0,983.0,479.0,146.0,73.0,3356.0,17.0,239.0,492.0,2608.0,4261.0,3959.0,144.0,1938,1867,71,1454,413,1867,1182,868,314,108,206,685,429,256,70,7,7,89,19,0,37,57,61,41,143,313,264,124,205,430,111656,128750,66078,111656,128750,63194,72027,59531,None,48953,41202,62406,69464,1951.0,43,7,324,32,137,34,63,353,604,341,1614,1682,538100,4583,166,10,0,10,0,0,89,26,54,9,0,0,0,0,0,0,0,67,38,0,38,0,29,6.9,3.29949239
